Word,IPA Pronunciation,Cambridge Pronunciation Number
hyperbolic,haɪpɚbɑlɪk,1
hypercritical,haɪpɚkɹɪtɪkəl,1
hyperinflation,haɪpɚɪnfleɪʃən,1
hyperplasia,,0
hypersensitive,,0
hypersensitivity,,0
hypersonic,haɪpɚsɑnɪk,1
hypertension,haɪpɚtɛnʃən,1
hypertensive,haɪpɚtɛnsɪv,1
hypertrophic,,0
hypertrophy,,0
hyphen,haɪfən,1
hyphenate,haɪfəneɪt,1
hyphenated,haɪfəneɪtɪd,1
hyphenation,haɪfəneɪʃən,1
hypnosis,,0
hypnotic,hɪpnɑtɪk,1
hypnotism,hɪpnətɪzəm,1
hypnotist,hɪpnətɪst,1
hypnotize,hɪpnətaɪz,1
hypo,haɪpoʊ,1
hypochondria,,0
hypochondriac,,0
hypocrisy,hɪpɑkɹəsi,1
hypocrite,hɪpəkɹɪt,1
hypocritical,hɪpəkɹɪtɪkəl,1
hypodermic,,0
hypoglycemia,haɪpoʊɡlaɪsimiə,1
hypoglycemic,haɪpoʊɡlaɪsimɪk,1
hypotension,haɪpoʊtɛnʃən,1
hypothalamic,haɪpoʊθəlæmɪk,1
hypothermia,,0
hypothesis,,0
hypothesize,haɪpɑθəsaɪz,1
hypothetical,,0
hypothetically,,0
hypoxia,haɪpɑksiə,1
hyssop,hɪsəp,1
hysterectomy,,0
hysteria,hɪstɛɹiə,2
hysterical,hɪstɛɹɪkəl,1
hysterically,,0
hysterics,hɪstɛɹɪks,1
i,aɪ,1
ibex,aɪbɛks,1
ibis,,0
ibuprofen,,0
ice,aɪs,1
iceberg,aɪsbɝɡ,1
icebox,aɪsbɑks,1
icebreaker,aɪsbɹeɪkɚ,1
iced,aɪst,1
icicle,aɪsɪkəl,1
icily,,0
icing,aɪsɪŋ,1
icon,aɪkɑn,1
iconic,aɪkɑnɪk,1
iconoclast,aɪkɑnəklæst,1
iconoclastic,,0
iconography,aɪkənɑɡɹəfi,1
icy,aɪsi,1
id,ɪd,1
idea,aɪdiə,1
ideal,,0
idealism,,0
idealist,,0
idealistic,aɪdiəlɪstɪk,1
idealize,aɪdiəlaɪz,1
idealized,aɪdiəlaɪzd,1
ideally,,0
ideation,aɪdieɪʃən,1
ident,aɪdɛnt,1
identical,,0
identifiable,aɪdɛntəfaɪəbəl,1
identification,aɪdɛntəfəkeɪʃən,1
identify,aɪdɛntəfaɪ,1
identity,aɪdɛntəti,1
ideological,aɪdiəlɑdʒɪkəl,1
ideologically,,0
ideology,aɪdiɑlədʒi,1
idiocy,ɪdiəsi,1
idiom,ɪdiəm,1
idiomatic,ɪdiəmætɪk,1
idiopathic,,0
idiosyncrasy,,0
idiosyncratic,,0
idiot,ɪdiət,1
idiotic,ɪdiɑtɪk,1
idiotically,,0
idle,aɪdəl,1
idleness,aɪdəlnəs,1
idler,aɪdəlɚ,1
idly,aɪdli,1
idol,aɪdəl,1
idolatry,aɪdɑlətɹi,1
idolize,aɪdəlaɪz,1
idyll,,0
idyllic,aɪdɪlɪk,1
if,ɪf,1
iffy,ɪfi,1
igloo,ɪɡlu,1
igneous,ɪɡniəs,1
ignite,ɪɡnaɪt,1
ignition,ɪɡnɪʃən,1
ignoble,ɪɡnoʊbəl,1
ignominious,ɪɡnəmɪniəs,1
ignominy,,0
ignoramus,,0
ignorance,ɪɡnɚəns,1
ignorant,ɪɡnɚənt,1
ignore,ɪɡnɔɹ,1
iguana,ɪɡwɑnə,1
ilk,ɪlk,1
ill,ɪl,1
illegal,ɪliɡəl,1
illegality,,0
illegally,ɪliɡəli,1
illegible,ɪlɛdʒəbəl,1
illegitimacy,ɪlɪdʒɪtəməsi,1
illegitimate,,0
illicit,,0
illicitly,ɪlɪsɪtli,1
illiteracy,ɪlɪtɚəsi,1
illiterate,ɪlɪtɚət,1
illness,ɪlnəs,1
illogical,ɪlɑdʒɪkəl,1
illuminate,,0
illuminated,,0
illuminating,ɪluməneɪtɪŋ,1
illumination,ɪluməneɪʃən,1
illusion,ɪluʒən,1
illusionary,ɪluʒənɛɹi,1
illusionist,,0
illusive,ɪlusɪv,1
illusory,ɪlusɚi,1
illustrate,ɪləstɹeɪt,1
illustration,ɪləstɹeɪʃən,1
illustrative,ɪlʌstɹətɪv,1
illustrator,ɪləstɹeɪtɚ,1
illustrious,ɪlʌstɹiəs,1
image,,0
imagery,,0
imaginable,ɪmædʒənəbəl,1
imaginary,ɪmædʒənɛɹi,1
imagination,ɪmædʒəneɪʃən,1
imaginative,ɪmædʒənətɪv,1
imagine,ɪmædʒən,5
imaging,ɪmɪdʒɪŋ,1
imam,,0
imbalance,ɪmbæləns,1
imbecile,ɪmbəsəl,2
imbed,ɪmbɛd,1
imbedded,ɪmbɛdɪd,1
imbibe,ɪmbaɪb,1
imbroglio,,0
imitate,ɪməteɪt,1
imitation,ɪməteɪʃən,1
imitative,ɪməteɪtɪv,1
imitator,ɪməteɪtɚ,1
immaculate,,0
immaculately,ɪmækjələtli,1
immaterial,ɪmətɪɹiəl,1
immature,,0
immaturity,,0
immeasurable,,0
immeasurably,,0
immediacy,ɪmidiəsi,1
immediate,ɪmidiət,1
immediately,ɪmidiətli,1
immemorial,ɪməmɔɹiəl,1
immense,ɪmɛns,1
immensely,ɪmɛnsli,1
immerse,ɪmɝs,1
immersion,,0
immigrant,ɪməɡɹənt,1
immigrate,ɪməɡɹeɪt,1
immigration,ɪməɡɹeɪʃən,1
imminence,ɪmənəns,1
imminent,ɪmənənt,1
imminently,ɪmənəntli,1
immobile,ɪmoʊbəl,1
immobility,,0
immobilize,ɪmoʊbəlaɪz,1
immolate,ɪməleɪt,1
immolation,ɪməleɪʃən,1
immoral,ɪmɔɹəl,1
immorality,,0
immortal,ɪmɔɹtəl,1
immortality,,0
immortalize,ɪmɔɹtəlaɪz,1
immovable,ɪmuvəbəl,1
immune,ɪmjun,1
immunity,ɪmjunəti,1
immunization,,0
immunize,,0
immunotherapy,,0
immutable,ɪmjutəbəl,1
imp,ɪmp,1
impact,ɪmpækt,1
impacted,ɪmpæktɪd,1
impair,ɪmpɛɹ,1
impaired,ɪmpɛɹd,1
impairment,ɪmpɛɹmənt,1
impala,ɪmpɑlə,1
impale,ɪmpeɪl,1
impanel,ɪmpænəl,1
impart,ɪmpɑɹt,1
impartial,ɪmpɑɹʃəl,1
impartiality,,0
impartially,ɪmpɑɹʃəli,1
impassable,ɪmpæsəbəl,1
impasse,ɪmpæs,1
impassioned,ɪmpæʃənd,1
impassive,ɪmpæsɪv,1
impatience,ɪmpeɪʃəns,1
impatiens,ɪmpeɪʃənz,1
impatient,ɪmpeɪʃənt,1
impatiently,ɪmpeɪʃəntli,1
impeach,ɪmpitʃ,1
impeachable,ɪmpitʃəbəl,1
impeachment,ɪmpitʃmənt,1
impeccable,ɪmpɛkəbəl,1
impeccably,ɪmpɛkəbli,1
impede,ɪmpid,1
impediment,ɪmpɛdəmənt,1
impel,ɪmpɛl,1
impending,ɪmpɛndɪŋ,1
impenetrable,ɪmpɛnətɹəbəl,1
imperative,ɪmpɛɹətɪv,1
imperceptible,,0
imperceptibly,,0
imperfect,,0
imperfection,ɪmpɚfɛkʃən,1
imperfectly,,0
imperial,ɪmpɪɹiəl,1
imperialism,ɪmpɪɹiəlɪzəm,1
imperialist,ɪmpɪɹiəlɪst,1
imperil,ɪmpɛɹəl,1
imperious,ɪmpɪɹiəs,1
impersonal,ɪmpɝsənəl,1
impersonate,ɪmpɝsəneɪt,1
impersonation,ɪmpɝsəneɪʃən,1
impersonator,ɪmpɝsəneɪtɚ,1
impertinent,ɪmpɝtənənt,1
impervious,ɪmpɝviəs,1
impetuous,,0
impetus,ɪmpətəs,1
impious,,0
impish,ɪmpɪʃ,1
implacable,ɪmplækəbəl,1
implant,ɪmplænt,1
implantable,ɪmplæntəbəl,1
implantation,ɪmplænteɪʃən,1
implausible,ɪmplɔzəbəl,2
implement,,0
implementation,ɪmpləmɛnteɪʃən,1
implicate,ɪmplɪkeɪt,2
implication,ɪmpləkeɪʃən,1
implicit,,0
implicitly,,0
implode,ɪmploʊd,1
implore,ɪmplɔɹ,1
imploring,ɪmplɔɹɪŋ,1
implosion,ɪmploʊʒən,1
imply,ɪmplaɪ,1
impolite,ɪmpəlaɪt,1
import,ɪmpɔɹt,1
importance,ɪmpɔɹtəns,1
important,ɪmpɔɹtənt,1
importantly,ɪmpɔɹtəntli,1
importation,ɪmpɔɹteɪʃən,1
importer,ɪmpɔɹtɚ,1
impose,ɪmpoʊz,1
imposing,ɪmpoʊzɪŋ,1
imposition,ɪmpəzɪʃən,1
impossibility,,0
impossible,ɪmpɑsəbəl,1
impossibly,ɪmpɑsəbli,1
impostor,,0
impotence,ɪmpətəns,1
impotent,ɪmpətənt,1
impound,ɪmpaʊnd,1
impoverish,,0
impoverished,,0
impoverishment,,0
impracticable,ɪmpɹæktɪkəbəl,1
impractical,,0
imprecise,,0
impregnable,ɪmpɹɛɡnəbəl,1
impregnate,ɪmpɹɛɡneɪt,1
impresario,,0
impress,ɪmpɹɛs,1
impression,ɪmpɹɛʃən,1
impressionable,ɪmpɹɛʃənəbəl,1
impressionist,,0
impressionistic,ɪmpɹɛʃənɪstɪk,1
impressive,ɪmpɹɛsɪv,1
impressively,ɪmpɹɛsɪvli,1
imprimatur,,0
imprint,ɪmpɹɪnt,1
imprison,ɪmpɹɪzən,1
imprisonment,ɪmpɹɪzənmənt,1
improbable,ɪmpɹɑbəbəl,1
impromptu,ɪmpɹɑmptu,1
improper,ɪmpɹɑpɚ,1
improperly,ɪmpɹɑpɚli,1
impropriety,ɪmpɹəpɹaɪəti,1
improve,ɪmpɹuv,1
improvement,ɪmpɹuvmənt,1
improvisation,,0
improvisational,,0
improvise,ɪmpɹəvaɪz,1
imprudence,ɪmpɹudəns,1
imprudent,ɪmpɹudənt,1
imprudently,ɪmpɹudəntli,1
impugn,ɪmpjun,1
impulse,,0
impulsive,ɪmpʌlsɪv,1
impulsively,ɪmpʌlsɪvli,1
impunity,ɪmpjunɪti,2
impure,ɪmpjʊɹ,1
impurity,ɪmpjʊɹəti,1
imputation,ɪmpjəteɪʃən,1
in,ɪn,1
inability,ɪnəbɪlɪti,2
inaccessibility,ɪnəksɛsəbɪləti,1
inaccessible,ɪnəksɛsəbəl,1
inaccuracy,ɪnækjɚəsi,1
inaccurate,ɪnækjɚət,1
inaccurately,ɪnækjɚətli,1
inaction,ɪnækʃən,1
inactive,ɪnæktɪv,1
inactivity,,0
inadequacy,,0
inadequate,ɪnædəkwət,1
inadequately,ɪnædəkwətli,1
inadmissible,ɪnədmɪsəbəl,1
inadvertence,ɪnədvɝtəns,1
inadvertent,ɪnədvɝtənt,1
inadvertently,ɪnədvɝtəntli,1
inadvisable,ɪnədvaɪzəbəl,1
inalienable,ɪneɪljənəbəl,2
inane,ɪneɪn,1
inanimate,ɪnænəmət,1
inapplicable,,0
inappropriate,,0
inappropriately,,0
inarticulate,ɪnɑɹtɪkjələt,1
inattention,,0
inattentive,ɪnətɛntɪv,1
inaudible,ɪnɔdəbəl,2
inaugural,,0
inaugurate,ɪnɔɡjəɹeɪt,4
inauguration,,0
inauspicious,,0
inborn,ɪnbɔɹn,1
inbound,ɪnbaʊnd,1
inbred,ɪnbɹɛd,1
inbreeding,ɪnbɹidɪŋ,1
incalculable,ɪnkælkjələbəl,1
incandescent,ɪnkəndɛsənt,5
incantation,ɪnkænteɪʃən,1
incapable,ɪnkeɪpəbəl,1
incapacitate,ɪnkəpæsɪteɪt,2
incapacitating,,0
incapacity,ɪnkəpæsəti,1
incarcerate,,0
incarceration,,0
incarnate,ɪnkɑɹnət,1
incarnation,ɪnkɑɹneɪʃən,1
incendiary,ɪnsɛndiɛɹi,1
incense,ɪnsɛns,1
incensed,ɪnsɛnst,1
incentive,ɪnsɛntɪv,1
inception,ɪnsɛpʃən,1
incessant,ɪnsɛsənt,1
incessantly,ɪnsɛsəntli,1
incest,ɪnsɛst,1
incestuous,,0
inch,ɪntʃ,1
incidence,,0
incident,ɪnsədənt,2
incidental,ɪnsɪdɛntəl,1
incidentally,ɪnsɪdɛntəli,1
incidentals,ɪnsɪdɛntəlz,1
incinerate,,0
incineration,,0
incinerator,,0
incipient,ɪnsɪpiənt,1
incise,ɪnsaɪz,1
incision,ɪnsɪʒən,1
incisive,ɪnsaɪsɪv,1
incisor,ɪnsaɪzɚ,1
incite,ɪnsaɪt,1
incitement,ɪnsaɪtmənt,1
inclement,ɪnklɛmənt,1
inclination,ɪnkləneɪʃən,1
incline,ɪnklaɪn,1
inclined,ɪnklaɪnd,1
include,ɪnklud,1
included,,0
including,ɪnkludɪŋ,1
inclusion,ɪnkluʒən,1
inclusive,ɪnklusɪv,1
inclusiveness,,0
incognito,,0
incoherent,ɪnkoʊhɪɹənt,1
incoherently,ɪnkoʊhɪɹəntli,1
income,,0
incoming,,0
incommunicado,,0
incomparable,ɪnkɑmpɚəbəl,1
incomparably,ɪnkɑmpɚəbli,1
incompatibility,,0
incompatible,ɪnkəmpætəbəl,1
incompetence,ɪnkɑmpətəns,1
incompetency,ɪnkɑmpətənsi,1
incompetent,ɪnkɑmpətənt,1
incompetently,ɪnkɑmpətəntli,1
incomplete,ɪnkəmplit,1
incomprehensible,,0
inconceivable,ɪnkənsivəbəl,1
inconclusive,ɪnkənklusɪv,2
incongruity,,0
incongruous,,0
inconsequential,,0
inconsistency,ɪnkənsɪstənsi,1
inconsistent,ɪnkənsɪstənt,1
inconspicuous,,0
incontinence,ɪnkɑntənəns,1
incontinent,ɪnkɑntənənt,1
incontrovertible,,0
inconvenience,ɪnkənvinjəns,1
inconvenient,ɪnkənvinjənt,1
incorporate,ɪnkɔɹpɚeɪt,1
incorporation,,0
incorrect,,0
incorrectly,,0
incorrigible,,0
increase,ɪnkɹis,1
increasingly,,0
incredible,ɪnkɹɛdəbəl,1
incredibly,ɪnkɹɛdəbli,1
incredulity,,0
incredulous,ɪnkɹɛdʒələs,1
increment,ɪnkɹəmənt,2
incremental,,0
incrementally,,0
incriminate,ɪnkɹɪməneɪt,1
incriminating,ɪnkɹɪməneɪtɪŋ,1
incubate,,0
incubation,,0
incubator,ɪŋkjəbeɪtɚ,1
incumbent,ɪnkʌmbənt,1
incur,ɪnkɝ,1
incurable,ɪnkjʊɹəbəl,1
incursion,ɪnkɝʒən,1
indebted,ɪndɛtɪd,1
indebtedness,,0
indecency,ɪndisənsi,1
indecent,ɪndisənt,1
indecision,ɪndɪsɪʒən,1
indecisive,ɪndɪsaɪsɪv,1
indeed,ɪndid,1
indefatigable,ɪndɪfætɪɡəbəl,1
indefensible,ɪndɪfɛnsəbəl,1
indefinable,ɪndɪfaɪnəbəl,1
indefinite,ɪndɛfənət,1
indefinitely,ɪndɛfənətli,1
indelible,,0
indelibly,ɪndɛləbli,1
indelicate,ɪndɛlɪkət,2
indemnification,,0
indemnify,ɪndɛmnəfaɪ,1
indemnity,ɪndɛmnəti,1
indent,ɪndɛnt,1
indentation,ɪndɛnteɪʃən,1
indenture,ɪndɛntʃɚ,1
independence,ɪndɪpɛndəns,1
independent,ɪndɪpɛndənt,1
independently,ɪndɪpɛndəntli,1
indescribable,ɪndɪskɹaɪbəbəl,1
indestructible,,0
indeterminate,,0
index,ɪndɛks,1
indicate,ɪndəkeɪt,1
indication,ɪndəkeɪʃən,1
indicative,ɪndɪkətɪv,1
indicator,ɪndəkeɪtɚ,1
indices,,0
indict,ɪndaɪt,1
indictment,ɪndaɪtmənt,1
indie,ɪndi,1
indifference,ɪndɪfɚəns,1
indifferent,ɪndɪfɹənt,3
indigenous,ɪndɪdʒənəs,1
indigent,ɪndɪdʒənt,1
indigestion,,0
indignant,ɪndɪɡnənt,1
indignantly,ɪndɪɡnəntli,1
indignation,ɪndɪɡneɪʃən,1
indignity,ɪndɪɡnəti,1
indigo,,0
indirect,,0
indirectly,,0
indiscreet,ɪndɪskɹit,1
indiscretion,ɪndɪskɹɛʃən,1
indiscriminate,ɪndɪskɹɪmənət,1
indiscriminately,ɪndɪskɹɪmənətli,1
indispensable,ɪndɪspɛnsəbəl,1
indisputable,ɪndɪspjutəbəl,1
indisputably,,0
indistinct,ɪndɪstɪŋkt,1
indistinguishable,ɪndɪstɪŋɡwɪʃəbəl,1
individual,,0
individualism,,0
individualist,,0
individualistic,,0
individuality,,0
individualized,,0
individually,,0
indivisible,,0
indoctrination,ɪndɑktɹəneɪʃən,1
indolent,ɪndələnt,1
indomitable,ɪndɑmətəbəl,1
indoor,ɪndɔɹ,1
indoors,ɪndɔɹz,1
induce,ɪndus,1
inducement,ɪndusmənt,1
induct,ɪndʌkt,1
induction,ɪndʌkʃən,1
inductive,ɪndʌktɪv,1
indulge,ɪndʌldʒ,1
indulgence,ɪndʌldʒəns,1
indulgent,ɪndʌldʒənt,1
industrial,ɪndʌstɹiəl,1
industrialist,ɪndʌstɹiəlɪst,1
industrialization,,0
industrialized,ɪndʌstɹiəlaɪzd,1
industrious,ɪndʌstɹiəs,1
industry,ɪndəstɹi,1
inebriate,,0
inebriated,,0
inebriating,,0
inedible,ɪnɛdəbəl,1
ineffable,ɪnɛfəbəl,1
ineffective,ɪnɪfɛktɪv,1
ineffectual,,0
inefficiency,ɪnɪfɪʃənsi,1
inefficient,ɪnɪfɪʃənt,1
inefficiently,ɪnɪfɪʃəntli,1
ineligible,ɪnɛlɪdʒəbəl,1
inept,ɪnɛpt,1
ineptitude,,0
ineptly,ɪnɛptli,1
inequality,ɪnɪkwɑləti,1
inequitable,ɪnɛkwətəbəl,1
inequity,,0
inert,ɪnɝt,1
inertia,ɪnɝʃə,1
inertial,ɪnɝʃəl,1
inescapable,ɪnɪskeɪpəbəl,1
inevitability,,0
inevitable,ɪnɛvətəbəl,1
inevitably,ɪnɛvətəbli,1
inexact,ɪnɪɡzækt,1
inexcusable,ɪnɪkskjuzəbəl,1
inexcusably,ɪnɪkskjuzəbli,1
inexhaustible,ɪnɪɡzɔstəbəl,2
inexorable,,0
inexorably,,0
inexpensive,ɪnɪkspɛnsɪv,1
inexpensively,,0
inexperience,ɪnɪkspɪɹiəns,1
inexperienced,,0
inexplicable,,0
inexplicably,ɪnɪksplɪkəbli,1
inextricably,,0
infallibility,,0
infallible,ɪnfæləbəl,1
infamous,ɪnfəməs,1
infamy,ɪnfəmi,1
infancy,ɪnfənsi,1
infant,ɪnfənt,1
infanticide,ɪnfæntəsaɪd,1
infantile,,0
infantry,ɪnfəntɹi,1
infantryman,,0
infarction,ɪnfɑɹkʃən,1
infatuated,ɪnfætʃueɪtɪd,1
infatuation,ɪnfætʃueɪʃən,1
infect,ɪnfɛkt,1
infected,ɪnfɛktɪd,1
infection,ɪnfɛkʃən,1
infectious,ɪnfɛkʃəs,1
infer,ɪnfɝ,1
inference,ɪnfɚəns,1
inferior,ɪnfɪɹiɚ,1
inferiority,,0
infernal,ɪnfɝnəl,1
inferno,ɪnfɝnoʊ,1
infertile,ɪnfɝtəl,1
infertility,,0
infest,ɪnfɛst,1
infestation,ɪnfɛsteɪʃən,1
infidel,,0
infidelity,,0
infield,ɪnfild,1
infielder,ɪnfildɚ,1
infighting,ɪnfaɪtɪŋ,1
infiltrate,ɪnfɪltɹeɪt,1
infiltration,ɪnfɪltɹeɪʃən,1
infiltrator,ɪnfɪltɹeɪtɚ,1
infinite,ɪnfənət,1
infinitely,ɪnfənətli,1
infinitesimal,,0
infinitive,,0
infinity,ɪnfɪnɪti,5
infirm,ɪnfɝm,1
infirmary,,0
infirmity,,0
inflame,ɪnfleɪm,1
inflamed,ɪnfleɪmd,1
inflammable,ɪnflæməbəl,1
inflammation,ɪnfləmeɪʃən,1
inflammatory,ɪnflæmətɔɹi,1
inflatable,ɪnfleɪtəbəl,1
inflate,ɪnfleɪt,1
inflated,ɪnfleɪtɪd,1
inflation,ɪnfleɪʃən,1
inflationary,ɪnfleɪʃənɛɹi,1
inflection,ɪnflɛkʃən,1
inflexibility,,0
inflexible,ɪnflɛksəbəl,1
inflict,ɪnflɪkt,1
infliction,ɪnflɪkʃən,1
inflow,ɪnfloʊ,1
influence,ɪnfluəns,1
influential,ɪnfluɛnʃəl,1
influenza,ɪnfluɛnzə,1
influx,,0
info,ɪnfoʊ,1
infomercial,ɪnfoʊmɝʃəl,1
inform,ɪnfɔɹm,1
informal,ɪnfɔɹməl,1
informality,,0
informally,ɪnfɔɹməli,1
informant,ɪnfɔɹmənt,1
information,,0
informational,,0
informative,ɪnfɔɹmətɪv,1
informed,ɪnfɔɹmd,1
informer,ɪnfɔɹmɚ,1
infotainment,ɪnfoʊteɪnmənt,1
infraction,ɪnfɹækʃən,1
infrared,,0
infrastructure,ɪnfɹəstɹʌktʃɚ,1
infrequent,ɪnfɹikwənt,1
infrequently,ɪnfɹikwəntli,1
infringe,ɪnfɹɪndʒ,1
infringement,ɪnfɹɪndʒmənt,1
infuriate,ɪnfjʊɹieɪt,1
infuriating,ɪnfjʊɹieɪtɪŋ,1
infuse,ɪnfjuz,1
infusion,ɪnfjuʒən,1
ingenious,ɪndʒinjəs,2
ingenuity,,0
ingenuous,ɪndʒɛnjuəs,1
ingest,ɪndʒɛst,1
ingestion,,0
inglorious,ɪnɡlɔɹiəs,1
ingot,ɪŋɡət,1
ingrained,ɪnɡɹeɪnd,1
ingratiate,,0
ingratiating,,0
ingredient,ɪnɡɹidiənt,1
inhabit,ɪnhæbət,2
inhabitant,ɪnhæbɪtənt,1
inhalation,ɪnhəleɪʃən,1
inhale,ɪnheɪl,1
inhaler,ɪnheɪlɚ,1
inherent,,0
inherently,,0
inherit,ɪnhɛɹət,4
inheritable,,0
inheritance,,0
inheritor,,0
inhibit,,0
inhibited,ɪnhɪbətɪd,1
inhibition,ɪnhəbɪʃən,3
inhibitor,,0
inhospitable,ɪnhɑspɪtəbəl,1
inhuman,ɪnhjumən,1
inhumane,ɪnhjumeɪn,1
inhumanity,ɪnhjumænəti,1
inimical,ɪnɪmɪkəl,1
inimitable,ɪnɪmətəbəl,1
iniquity,,0
initial,ɪnɪʃəl,1
initialize,ɪnɪʃəlaɪz,1
initially,ɪnɪʃəli,1
initiate,ɪnɪʃieɪt,1
initiation,ɪnɪʃieɪʃən,1
initiative,ɪnɪʃətɪv,1
inject,ɪndʒɛkt,1
injection,ɪndʒɛkʃən,1
injudicious,,0
injunction,ɪndʒʌŋkʃən,1
injure,ɪndʒɚ,1
injured,ɪndʒɚd,1
injurious,ɪndʒʊɹiəs,1
injury,,0
injustice,ɪndʒʌstɪs,1
ink,ɪŋk,1
inkblot,ɪŋkblɑt,1
inkling,ɪŋklɪŋ,1
inky,ɪŋki,1
inlaid,ɪnleɪd,1
inland,,0
inlay,ɪnleɪ,1
inlet,ɪnlɛt,1
inmate,ɪnmeɪt,1
inn,ɪn,1
innards,ɪnɚdz,1
innate,ɪneɪt,1
innately,ɪneɪtli,1
inner,ɪnɚ,1
innermost,ɪnɚmoʊst,1
inning,ɪnɪŋ,1
innings,ɪnɪŋz,1
innkeeper,ɪnkipɚ,1
innocence,ɪnəsəns,1
innocent,ɪnəsənt,1
innocently,ɪnəsəntli,1
innocuous,ɪnɑkjuəs,1
innovate,ɪnəveɪt,1
innovation,ɪnəveɪʃən,1
innovative,ɪnəveɪtɪv,1
innovator,ɪnəveɪtɚ,1
innuendo,ɪnjuɛndoʊ,1
innumerable,ɪnumɚəbəl,1
inoculate,ɪnɑkjəleɪt,1
inoculation,ɪnɑkjəleɪʃən,1
inoffensive,ɪnəfɛnsɪv,1
inoperable,ɪnɑpɚəbəl,1
inoperative,ɪnɑpɚətɪv,1
inopportune,ɪnɑpɚtun,1
inordinate,,0
inordinately,ɪnɔɹdənətli,1
inorganic,ɪnɔɹɡænɪk,1
inpatient,ɪnpeɪʃənt,1
input,ɪnpʊt,1
inquest,ɪnkwɛst,3
inquire,ɪnkwaɪɹ,1
inquirer,ɪnkwaɪɹɚ,1
inquiring,,0
inquiry,,0
inquisition,ɪnkwəzɪʃən,2
inquisitive,,0
inquisitor,,0
inroads,ɪnɹoʊdz,1
insane,ɪnseɪn,1
insanity,ɪnsænəti,1
insatiable,ɪnseɪʃəbəl,1
inscribe,ɪnskɹaɪb,1
inscription,ɪnskɹɪpʃən,1
inscrutable,ɪnskɹutəbəl,1
insect,ɪnsɛkt,1
insecticide,ɪnsɛktəsaɪd,1
insectivorous,,0
insecure,,0
insecurity,,0
inseminate,ɪnsɛməneɪt,1
insemination,ɪnsɛməneɪʃən,1
insensible,ɪnsɛnsəbəl,1
insensitive,ɪnsɛnsətɪv,1
insensitivity,ɪnsɛnsətɪvəti,1
inseparable,,0
insert,ɪnsɝt,1
insertion,ɪnsɝʃən,1
inset,ɪnsɛt,1
inshore,ɪnʃɔɹ,1
inside,ɪnsaɪd,1
insider,ɪnsaɪdɚ,1
insidious,ɪnsɪdiəs,1
insight,ɪnsaɪt,1
insightful,ɪnsaɪtfəl,1
insignia,ɪnsɪɡniə,1
insignificance,,0
insignificant,,0
insincere,ɪnsɪnsɪɹ,1
insinuate,ɪnsɪnjueɪt,1
insinuating,ɪnsɪnjueɪtɪŋ,1
insinuation,ɪnsɪnjueɪʃən,1
insipid,,0
insist,ɪnsɪst,1
insistence,ɪnsɪstəns,1
insistent,ɪnsɪstənt,1
insistently,ɪnsɪstəntli,1
insolence,ɪnsələns,1
insolent,ɪnsələnt,1
insoluble,ɪnsɑljəbəl,1
insolvency,ɪnsɑlvənsi,1
insolvent,ɪnsɑlvənt,1
insomnia,ɪnsɑmniə,1
insomniac,ɪnsɑmniæk,1
insouciance,ɪnsusiəns,1
insouciant,,0
inspect,ɪnspɛkt,1
inspection,ɪnspɛkʃən,1
inspector,ɪnspɛktɚ,1
inspiration,,0
inspirational,,0
inspire,ɪnspaɪɹ,1
inspired,,0
inspiring,ɪnspaɪɹɪŋ,1
instability,ɪnstəbɪlɪti,2
install,ɪnstɔl,4
installation,ɪnstəleɪʃən,1
installment,ɪnstɔlmənt,2
instance,ɪnstəns,1
instant,ɪnstənt,1
instantaneous,,0
instantaneously,,0
instantly,ɪnstəntli,1
instead,ɪnstɛd,1
instigate,ɪnstəɡeɪt,1
instigation,ɪnstɪɡeɪʃən,2
instigator,ɪnstəɡeɪtɚ,1
instill,ɪnstɪl,1
instinct,ɪnstɪŋkt,1
instinctive,ɪnstɪŋktɪv,1
instinctively,ɪnstɪŋktɪvli,1
institute,ɪnstɪtut,2
institution,ɪnstɪtuʃən,5
institutional,,0
institutionalization,,0
institutionalized,,0
instruct,ɪnstɹʌkt,1
instruction,ɪnstɹʌkʃən,1
instructional,ɪnstɹʌkʃənəl,1
instructions,ɪnstɹʌkʃənz,1
instructive,ɪnstɹʌktɪv,1
instructor,ɪnstɹʌktɚ,1
instrument,ɪnstɹəmənt,1
instrumental,ɪnstɹəmɛntəl,1
instrumentation,ɪnstɹəmɛnteɪʃən,1
insubordinate,,0
insubordination,ɪnsəbɔɹdəneɪʃən,1
insubstantial,ɪnsəbstænʃəl,1
insufferable,ɪnsʌfɚəbəl,1
insufficient,ɪnsəfɪʃənt,1
insufficiently,ɪnsəfɪʃəntli,1
insular,ɪnsəlɚ,1
insulate,ɪnsəleɪt,1
insulation,ɪnsəleɪʃən,1
insulator,ɪnsəleɪtɚ,1
insulin,ɪnsələn,2
insult,ɪnsʌlt,1
insulting,ɪnsʌltɪŋ,1
insupportable,ɪnsəpɔɹtəbəl,1
insurance,,0
insure,ɪnʃʊɹ,1
insured,,0
insurgency,ɪnsɝdʒənsi,1
insurgent,ɪnsɝdʒənt,1
insurmountable,ɪnsɚmaʊntəbəl,1
insurrection,ɪnsɚɛkʃən,1
intact,ɪntækt,1
intake,ɪnteɪk,1
intangible,ɪntændʒəbəl,1
integer,ɪntədʒɚ,1
integral,ɪntəɡɹəl,1
