Word,Possible IPA from CMU,Possible IPA from Cambridge
knowledgeable,nɑlədʒəbəl nɒlədʒəbəl,nɑlɪdʒəbəl
krypton,kɹɪptɔn,kɹɪptɑn
kryptonite,kɹɪptoʊnaɪt,kɹɪptənaɪt kɹɪptənaɪt
kudos,kudoʊs,kudɑs kudɑs doʊs
kudzu,kʌdzu,kʊdzu
labs,læbz,læb
labyrinth,læbɝɪnθ læbɚɪnθ,læbəɹɪnθ læbəɹɪnθ læbəɹɪnθ læbəɹɪnθ
labyrinthine,læbɝɪnθin læbɚɪnθin,læbəɹɪnθaɪn
lacerate,læsɝeɪt læsɚeɪt,læsəɹeɪt læsəɹeɪt læsəɹeɪt læsəɹeɪt
laceration,læsɝeɪʃən læsɚeɪʃən,læsəɹeɪʃən
lackluster,læklAH2stɝ læklAH2stɚ,læklʌstɚ læklʌstəɹ
laconic,lɑkɑnɪk lɑkɒnɪk lɒkɑnɪk lɒkɒnɪk,ləkɑnɪk ləkɑnɪk
ladybug,leɪdibAH2ɡ,leɪdibʌɡ leɪdibʌɡ
laminated,læməneɪtəd,læməneɪtɪd læməneɪtɪd læməneɪtɪd
lancet,lænsət,lænsɪt
landed,lændəd,lændɪd lændɪd
language,læŋɡwədʒ,læŋɡwɪdʒ læŋɡwɪdʒ læŋɡwɪdʒ læŋɡwɪdʒ læŋɡwɪdʒ læŋɡwɪdʒ læŋɡwɪdʒ læŋɡwɪdʒ læŋɡwɪdʒ
languid,læŋɡwəd,læŋɡwɪd læŋɡwɪd
lanolin,lænələn,lænəlɪn
laparoscopy,læpɝɑskəpi læpɝɒskəpi læpɚɑskəpi læpɚɒskəpi,læpəɹɑskəpi
lapdog,læpdɔɡ,læpdɑɡ læpdɑɡ
largesse,lɑɹɡɛs lɒɹɡɛs,lɑɹʒɛs lɑɹdʒɛs
laryngeal,lɑɹɪndʒiəl lɒɹɪndʒiəl,ləɹɪndʒiəl
laryngitis,lɑɹɪndʒaɪtəs lɒɹɪndʒaɪtəs,lɛɹɪndʒaɪtəs læɹɪndʒɑɪtəs
laryngoscope,lɑɹɪnɡəskoʊp lɒɹɪnɡəskoʊp,ləɹɪŋɡəskoʊp
laryngoscopy,lɑɹɪnɡɔskoʊpi lɒɹɪnɡɔskoʊpi,lɛɹɪŋɡɒskəpi
lasagna,lɑsɑnjə lɑsɒnjə lɒsɑnjə lɒsɒnjə,ləzɑnjə ləzɑnjə
lat,lɑt lɒt,læt
latecomer,leɪtkəmɝ leɪtkəmɚ,leɪtkʌmɚ leɪtkʌməɹ
latest,leɪtəst,leɪtɪst leɪtɪst
lattice,lætəs,lætɪs
laudable,lɔdəbəl,lɑdəbəl
launcher,lɔntʃɝ lɔntʃɚ,lɑntʃɚ
launder,lɔndɝ lɔndɚ,lɑndɚ lɑndɚ lɔndəɹ lɑn lɔndəɹ lɑn
launderer,lɔndɝɝ lɔndɝɚ lɔndɚɝ lɔndɚɚ,lɑndɚɚ lɑndɚɚ
lavender,lævəndɝ lævəndɚ,lævɪndɚ lævɪndɚ lævəndəɹ
lawbreaker,lɔbɹeɪkɝ lɔbɹeɪkɚ,lɑbɹeɪkɚ lɔbɹeɪkəɹ
lawfully,lɔfəli,lɑfəli lɑ
lawlessness,lɔləsnəs,lɑləsnəs
lawmaker,lɔmeɪkɝ lɔmeɪkɚ,lɑmeɪkɚ lɔmeɪkəɹ
lawnmower,lɔnmoʊɝ lɔnmoʊɚ,lɑnmoʊɚ lɔnmoʊəɹ lɑn
lawyer,lɔjɝ lɔjɚ,lɔɪjɚ lɔɪəɹ lɔjəɹ
layoff,leɪɔf,leɪɑf leɪɑf leɪɑf lɛiɔf
lead,lɛd,lid lid lid lid lid lid lid lid lid lid lid lid lid lid lid lid lid lid lid lid
leakage,likədʒ,likɪdʒ likɪdʒ likɪdʒ
learned,lɝnd lɚnd,lɜɹnɪd
lech,lɛk,lɛtʃ
lecithin,lɛsəθən,lɛsɪθɪn
legalese,lɛɡəlis,liɡəliz liɡəlIz
legalistic,lɛɡəlɪstɪk,liɡəlɪstɪk
legato,ləɡɑtoʊ ləɡɒtoʊ,lɪɡɑtoʊ
legislate,lɛdʒɪsleɪt,lɛdʒəsleɪt lɛdʒəsleɪt
legislature,lɛdʒəsleɪtʃɝ lɛdʒəsleɪtʃɚ,lɛdʒəslətʃɚ lɛdʒəsleɪtʃəɹ tʃɚ
legit,lɛdʒɪt,lədʒɪt
legroom,ləɡɹum,lɛɡɹum lɛɡɹum ɹʊm
lei,leɪ,leɪi
leisure,lɛʒɝ lɛʒɚ,liʒɚ liʒəɹ lɛʒəɹ liʒəɹ
leisurely,lizɝli lizɚli,liʒɚli
lengthwise,lɛŋθwaɪz,lɛŋkθwɑɪz lɛŋθ
leniency,linjənsi,liniənsi
leniently,linjəntli,liniəntli
leprechaun,lɛpɝkɔn lɛpɚkɔn,lɛpɹəkɑn
lesbianism,lɛzbiənɪzm,lɛzbiənɪzəm
lessor,lɛsɝ lɛsɚ,lɛsɔɹ lɛsɔɹ
letup,lɛtAH2p,lɛtʌp
leveraged,livɝɪdʒd livɚɪdʒd,lɛvɚɪdʒd lɛvɚɪdʒd lɛvəɹɪdʒd lɛvəɹɪdʒd
leviathan,lɛvaɪəθən,ləvaɪəθən
levitate,lɛvɪteɪt,lɛvəteɪt
levitation,lɛvɪteɪʃən,lɛvəteɪʃən
liability,laɪəbɪlɪti,laɪəbɪləti laɪəbɪləti lɑɪəbɪlɪti lɑɪəbɪlɪti
libel,laɪbɛl,laɪbəl lɑɪbəl
libelous,laɪbɛləs,laɪbələs
liberal,lɪbɝəl lɪbɚəl,lɪbəɹəl lɪbəɹəl lɪbəɹəl lɪbəɹəl lɪbəɹəl lɪbəɹəl lɪbəɹəl lɪbəɹəl lɪbəɹəl
liberalism,lɪbɝəlɪzəm lɪbɚəlɪzəm,lɪbəɹəlɪzəm lɪbəɹəlɪzəm
liberalization,lɪbɝəlɪzeɪʃən lɪbɚəlɪzeɪʃən,lɪbəɹələzeɪʃən ɚ
liberally,lɪbɝəli lɪbɚəli,lɪbəɹəli lɪbəɹəli lɪbəɹəli lɪbəɹəli lɪbəɹəli
liberate,lɪbɝeɪt lɪbɚeɪt,lɪbəɹeɪt lɪbəɹeɪt lɪbəɹeɪt
liberated,lɪbɝeɪtɪd lɪbɚeɪtɪd,lɪbəɹeɪtɪd lɪbəɹeɪtɪd lɪbəɹeɪtɪd lɪbəɹeɪtɪd
liberating,lɪbɝeɪtɪŋ lɪbɚeɪtɪŋ,lɪbəɹeɪtɪŋ
liberation,lɪbɝeɪʃən lɪbɚeɪʃən,lɪbəɹeɪʃən lɪbəɹeɪʃən
liberator,lɪbɝeɪtəɹ lɪbɚeɪtəɹ,lɪbəɹeɪtɚ
libido,ləbaɪdoʊ,ləbidoʊ
licensure,laɪsəntʃɝ laɪsəntʃɚ,laɪsənʃɚ
licentious,laɪsɛntʃəs,laɪsɛnʃəs
lien,lin,liən liən
lifeblood,laɪfblAH2d,laɪfblʌd lɑɪfblʌd
lifelong,laɪflɔŋ,laɪflɑŋ lɑɪflɔŋ
lighted,laɪtəd,laɪtɪd
lightheaded,laɪthɛdəd,lɑɪthɛdəd
lighthearted,laɪthɑɹtɪd laɪthɒɹtɪd,lɑɪthɑɹtɪd
likes,laɪks,lɑɪks
lilac,laɪlæk,laɪlək laɪlək lɑɪlək læk lɑk
limelight,laɪmlaɪt,lɑɪmlɑɪt
limit,lɪmət,lɪmɪt lɪmɪt lɪmɪt lɪmɪt
limited,lɪmətəd,lɪmɪtɪd lɪmɪtɪd lɪmɪtɪd lɪmɪtɪd
limiting,lɪmətɪŋ,lɪmɪtɪŋ
limitless,lɪmətləs,lɪmɪtləs
lineage,lɪniədʒ,lɪniɪdʒ lɪniɪdʒ
lineup,laɪnAH2p,lɑɪnʌp lɑɪnʌp
lingerie,lɑnʒɝeɪ lɑnʒɚeɪ lɒnʒɝeɪ lɒnʒɚeɪ,lɑnʒəɹeɪ lɑndʒəɹeɪ lɑ̃ʒə ɹi
linguine,lɪŋɡwini,lɪŋɡwineɪ
linguistically,lɪŋɡwɪstɪkli,lɪŋɡwɪstɪkəli
linkage,lɪŋkədʒ,lɪŋkɪdʒ lɪŋkɪdʒ
lipid,laɪpəd,lɪpɪd lɪpɪd
liposuction,lɪpoʊsAH2kʃən,laɪpoʊsʌkʃən
liquefaction,lɪkwəfækʃən,lɪkwɪfækʃən
liqueur,lɪkɝ lɪkɚ,lɪkjʊɹ lɪkɜɹ kjʊɹ kʊɹ
liquid,lɪkwəd,lɪkwɪd lɪkwɪd lɪkwɪd
liquidation,lɪkwɪdeɪʃən,lɪkwədeɪʃən
liquidator,lɪkwɪdeɪtɝ lɪkwɪdeɪtɚ,lɪkwədeɪtɚ ṱɚ
lisle,laɪəl,laɪl
literary,lɪtɝɛɹi lɪtɚɛɹi,lɪtəɹɛɹi lɪtəɹɛɹi lɪtəɹɛɹi lɪtəɹɛɹi lɪtəɹɛɹi
literati,lɪtɝɑti lɪtɝɒti lɪtɚɑti lɪtɚɒti,lɪtəɹɑti
lithograph,lɪθəɡɹæf,lɪθoʊɡɹæf
lithographic,lɪθəɡɹæfɪk,lɪθoʊɡɹæfɪk
lithography,ləθɑɡɹəfi ləθɒɡɹəfi,lɪθɑɡɹəfi
litigant,lɪtɪɡənt,lɪtəɡənt lɪṱ
live,laɪv,lɪv lɪv lɪv lɪv lɪv lɪv lɪv lɪv lɪv lɪv lɪv lɪv
lives,lɪvz,laɪvz lɑɪvz
loaded,loʊdəd,loʊdɪd loʊdɪd loʊdɪd loʊdɪd loʊdɪd loʊdɪd loʊdɪd loʊdɪd
loathing,loʊθɪŋ,loʊðɪŋ
lobbyist,lɑbiəst lɒbiəst,lɑbiɪst lɑbi
lobotomy,loʊboʊtoʊmi,ləbɑtəmi
localization,loʊkələzeɪʃən,ləʊkəlɪzeɪʃən ləʊkəlɪzeɪʃən
loci,loʊki,loʊsaɪ
logarithm,lɑɡɝɪðəm lɑɡɚɪðəm lɒɡɝɪðəm lɒɡɚɪðəm,lɑɡəɹɪðəm lɔɡəɹɪðəm lɑɡə
logarithmic,lɑɡɝɪðmɪk lɑɡɚɪðmɪk lɒɡɝɪðmɪk lɒɡɚɪðmɪk,lɑɡəɹɪθmɪk
logbook,lɔɡbʊk,lɑɡbʊk
loge,loʊdʒ,loʊʒ loʊʒ
logically,lɑdʒɪkli lɒdʒɪkli,lɑdʒɪkəli
longevity,lɔndʒɛvəti,lɑndʒɛvəti lɑndʒɛvəti lɑndʒɛvɪti lɔn lɑndʒɛvətIi
longhair,lɔŋhɛɹ,lɑŋhɛɹ lɑŋhɛɹ lɑŋhɛɹ lɑŋhɛɹ
longhorn,lɔŋhɔɹn,lɑŋhɔɹn
longingly,lɔŋɪŋli,lɑŋɪŋli
longish,lɔŋɪʃ,lɑŋɪʃ
longshore,lɔŋʃɔɹ,lɑŋʃɔɹ lɑŋʃɔɹ
longtime,lɔŋtaɪm,lɔŋtɑɪm
lough,laʊ,lɑk
louvre,luvɹə,luvɚ
lowdown,loʊdaʊn,loʊdɑʊn
lowering,loʊɝɪŋ loʊɚɪŋ,laʊɚɪŋ
lowland,loʊlænd,loʊlənd loʊlənd lænd
lozenge,lɔzəndʒ,lɑzəndʒ lɑzəndʒ lɑzəndʒ lɑs
lubrication,lubɹɪkeɪʃən,lubɹəkeɪʃən lubɹəkeɪʃən lubɹəkeɪʃən lubɹəkeɪʃən
lucidity,lusɪdɪti,lusɪdəti lusɪdəti
luge,ludʒ,luʒ
luggage,lʌɡədʒ,lʌɡɪdʒ lʌɡɪdʒ
lugubrious,luɡjubɹiəs,luɡubɹiəs
lumbago,ləmbeɪɡoʊ,lʌmbeɪɡoʊ
lumbar,lʌmbɑɹ lʌmbɒɹ,lʌmbɚ
lumberman,lʌmbɝmən lʌmbɚmən,lʌmbɚmæn
lumpectomy,lAH2mpɛktəmi,lʌmpɛktəmi
luncheonette,lAH2ntʃɪnɛt,lʌntʃənɛt lʌntʃənɛt
lupin,lupən,lupɪn
lupine,lupaɪn,lupɪn
lurid,lʊɹəd,lʊɹɪd lʊɹɪd lʊɹɪd
luscious,lʌʃɪs,lʌʃəs lʌʃəs lʌʃəs lʌʃəs lʌʃəs
luxuriant,ləɡʒɝiənt ləɡʒɚiənt,lʌɡʒʊɹiənt lʌɡʒʊɹiənt ləɡʒʊɹiənt ləkʃʊɹ
luxurious,ləɡʒɝiəs ləɡʒɚiəs,lʌɡʒʊɹiəs lʌɡʒʊɹiəs
luxury,lʌɡʒɝi lʌɡʒɚi,lʌkʃɚi lʌkʃɚi lʌkʃɚi lʌkʃəɹi lʌɡʒəɹi lʌkʃəɹi lʌɡʒəɹi
lymphocyte,lɪmfəsaɪt,limfəsaɪt lɪmfəsɑɪt
lyrically,lɪɹɪkli,lɪɹɪkəli lɪɹɪkəli
lyricism,lɪɹɪsɪzəm,lɪɹəsɪzəm
lyricist,lɪɹɪsɪst,lɪɹəsɪst
macaroni,mækɝoʊni mækɚoʊni,mækəɹoʊni mækəɹoʊni
macaw,məkɔ,məkɑ
machinist,məʃinəst,məʃinɪst məʃinɪst məʃInɪst məʃInɪst
machismo,mətʃɪzmoʊ,mətʃizmoʊ mətʃizmoʊ kiz kɪz
mackerel,mækɝəl mækɚəl,mækɹəl mækɹəl
mackintosh,mækəntɑʃ mækəntɒʃ,mækɪntɑʃ
madeleine,mædəlɛn,mædələn
magnifier,mæɡnəfaɪɝ mæɡnəfaɪɚ,mæɡnɪfaɪɚ
maharaja,mɑhɝɑʒAH2 mɑhɝɒʒAH2 mɑhɚɑʒAH2 mɑhɚɒʒAH2 mɒhɝɑʒAH2 mɒhɝɒʒAH2 mɒhɚɑʒAH2 mɒhɚɒʒAH2,mɑhəɹɑdʒə
majolica,mədʒɔləkə,mədʒɑlɪkə
makeover,mækoʊvɝ mækoʊvɚ,meɪkoʊvɚ meɪkoʊvəɹ
makeup,meɪkAH2p,meɪkʌp meɪkʌp meɪkʌp meɪkʌp
malaise,mæleɪz,məleɪz məleɪz mæ lɛz
malice,mæləs,mælɪs mælɪs
maliciously,məlɪʃɪsli,məlɪʃəsli
mallard,mælɝd mælɚd,mælɑɹd mæləɹd
malpractice,mælpɹæktəs,mælpɹæktɪs mælpɹæktɪs
mam,mɑm mɒm,mæm
mamba,mɑmbə mɒmbə,mæmbə
mammogram,mæmoʊɡɹæm,mæməɡɹæm mæməɡɹæm
managerial,mænɪdʒɪɹiəl,mænədʒɪɹiəl
mandarin,mændɝən mændɚən,mændɚɪn mændɚɪn
maneuverable,mənuvɝəbəl mənuvɚəbəl,mənuvɹəbəl
maneuvers,mənuvɝz mənuvɚz,mənuvəɹz
mangrove,mænɡɹoʊv,mæŋɡɹoʊv
manhunt,mænhAH2nt,mænhʌnt mænhʌnt
manicure,mænɪkjɝ mænɪkjɚ,mænəkjʊɹ mænəkjʊɹ
manicured,mænɪkjɝd mænɪkjɚd,mænəkjʊɹd mænəkjʊɹd
manicurist,mænɪkjɝɪst mænɪkjɚɪst,mænəkjʊɹɪst
manipulative,mənɪpjəleɪtɪv,mənɪpjələtɪv mənɪpjələtɪv leɪtɪv
manners,mænɝz mænɚz,mænəɹz
manslaughter,mænslɔtɝ mænslɔtɚ,mænslɑtɚ mænslɔtəɹ
manus,meɪnɪs,meɪnəs
maraschino,mæɹəskinoʊ,mɛɹəʃinoʊ
marauder,mɝɔdɝ mɝɔdɚ mɚɔdɝ mɚɔdɚ,məɹɑdɚ
marauding,mɝɔdɪŋ mɚɔdɪŋ,məɹɑdɪŋ
marchioness,mɑɹʃənɪs mɒɹʃənɪs,mɑɹʃənɛs
margarine,mɑɹdʒɝən mɑɹdʒɚən mɒɹdʒɝən mɒɹdʒɚən,mɑɹdʒɚɪn mɑɹdʒəɹɪn
margarita,mɑɹɡɝitə mɑɹɡɚitə mɒɹɡɝitə mɒɹɡɚitə,mɑɡəɹitə
margin,mɑɹdʒən mɒɹdʒən,mɑɹdʒɪn mɑɹdʒɪn mɑɹdʒɪn mɑɹdʒɪn mɑɹdʒɪn mɑɹdʒɪn mɑɹdʒɪn mɑɹdʒɪn mɑɹdʒɪn
marginal,mɑɹdʒənəl mɒɹdʒənəl,mɑɹdʒɪnəl mɑɹdʒɪnəl mɑɹdʒɪnəl
marginalize,mɑɹdʒənəlaɪz mɒɹdʒənəlaɪz,mɑɹdʒɪnəlaɪz
marginally,mɑɹdʒənəli mɒɹdʒənəli,mɑɹdʒɪnəli
marguerite,mɑɹɡɝit mɑɹɡɚit mɒɹɡɝit mɒɹɡɚit,mɑɹɡəɹit mɑɹɡəɹit
marigold,mɛɹəɡoʊld,mɛɹɪɡoʊld mæɹəɡoʊld
marimba,mɝɪmbə mɚɪmbə,məɹɪmbə
marina,mɝinə mɚinə,məɹinə məɹinə
marinade,mɑɹɪneɪd mɒɹɪneɪd,mɛɹɪneɪd
marinate,mɛɹəneɪt,mɛɹəneɪd mæɹəneɪt
marine,mɝin mɚin,məɹin məɹin
marital,mæɹətəl,mɛɹɪtəl mæɹɪtəl
maritime,mæɹətaɪm,mɛɹətaɪm mɛɹətaɪm mæɹɪtɑɪm
market,mɑɹkət mɒɹkət,mɑɹkɪt mɑɹkɪt mɑɹkɪt mɑɹkɪt mɑɹkɪt mɑɹkɪt mɑɹkɪt mɑɹkɪt
marketability,mɑɹkɪtəbɪlɪti mɒɹkɪtəbɪlɪti,mɑɹkɪtəbɪləti
marketable,mɑɹkətəbəl mɒɹkətəbəl,mɑɹkɪtəbəl mɑɹkɪtəbəl
marketing,mɑɹkətɪŋ mɒɹkətɪŋ,mɑɹkɪtɪŋ mɑɹkɪtɪŋ mɑɹkɪtɪŋ
marketplace,mɑɹkətpleɪs mɒɹkətpleɪs,mɑɹkɪtpleɪs mɑɹkɪtpleɪs mɑɹkɪtpleɪs mɑɹkɪtpleɪs mɑɹkɪtpleɪs
markup,mɑɹkAH2p mɒɹkAH2p,mɑɹkʌp mɑɹkʌp
marlin,mɑɹlən mɒɹlən,mɑɹlɪn
marmoset,mɑɹməzɛt mɒɹməzɛt,mɑɹməsɛt
maroon,mɝun mɚun,məɹun məɹun
marooned,mɝund mɚund,məɹund məɹund
marquess,mɑɹkwəs mɒɹkwəs,mɑɹkwɪs
marquis,mɑɹki mɒɹki,mɑɹkwɪs
marron,mɛɹən,məɹoʊn məɹoʊn
masa,mɑsɑ mɑsɒ mɒsɑ mɒsɒ,mɑsə
mascot,mæskət,mæskɑt mæskɑt
masculine,mæskjələn,mæskjəlɪn mæskjəlɪn mæskjəlɪn mæskjəlɪn
masquerade,mæskɝeɪd mæskɚeɪd,mæskəɹeɪd mæskəɹeɪd mæskəɹeɪd mæskəɹeɪd
masses,mæsəz,mæsɪz
mastiff,mæstəf,mæstɪf
mastodon,mæstədɔn,mæstədɑn
mater,mɑtɝ mɑtɚ mɒtɝ mɒtɚ,meɪtɚ
maternity,mətɝnɪti mətɚnɪti,mətɝnəti mətɜɹnɪti
mathematical,mæθəmætɪkəl,mæθmætɪkəl
mathematically,mæθəmætɪkəli,mæθmætɪkəli
matinee,mætɪneɪ,mætəneɪ mætəneɪ
matrilineal,mætɹɪlɪniəl,mætɹəlɪniəl
maturation,mætʃɝeɪʃən mætʃɚeɪʃən,mætʃəɹeɪʃən mætʃəɹeɪʃən mætʃəɹeɪʃən mætʃəɹeɪʃən mætʃəɹeɪʃən mætʃəɹeɪʃən
maudlin,mɔdlɪn,mɑdlɪn
mausoleum,mɔsəliəm,mɑzəliəm
maw,mɔ,mɑ mɑ
mawkish,mɔkɪʃ,mɑkɪʃ
maxim,mæksəm,mæksɪm mæksɪm
maximization,mæksɪmɪzeɪʃən,mæksəməzeɪʃən mæksɪmaɪzeɪʃən
maximus,mæksɪməs,mæksəməs
mayor,meɪɝ meɪɚ,mɛɹ meɪəɹ
mealtime,miltaɪm,mɪəltaɪm miltɑɪm
meantime,mintaɪm,mintɑɪm
mechanically,məkænɪkli,məkænɪkəli məkænɪkəli
medical,mɛdəkəl,mɛdɪkəl mɛdɪkəl
medically,mɛdəkli,mɛdɪkəli
medicinal,mədɪsənəl,mədɪsɪnəl
medicine,mɛdəsən,mɛdɪsən mɛdɪsən mɛdəsɪn mɛdəsɪn
medieval,mɪdivəl,mɛdiivəl midiivəl mɛdivəl
medulla,mɪdʌlə,mədʌlə mədʌlə
megabucks,mɛɡəbAH2ks,mɛɡəbʌks
megalomania,mɛɡəloʊmeɪniə,mɛɡələmeɪniə mɛɡələmeɪniə
megalomaniac,mɛɡəloʊmeɪniæk,mɛɡələmeɪniæk
megalopolis,mɛɡəlɑpələs mɛɡəlɒpələs,mɛɡəlɑpəlɪs
megaton,mɛɡətAH2n,mɛɡətʌn
meiosis,maɪoʊsəs,maɪoʊsɪs mɑɪoʊsɪs
melancholic,mɛlənkɑlɪk mɛlənkɒlɪk,mɛləŋkɑlɪk
melanin,mɛlənən,mɛlənɪn
melted,mɛltəd,mɛltɪd
memento,mɛmɛntoʊ,məmɛntoʊ məmɛntoʊ
memorabilia,mɛmɝəbiljə mɛmɚəbiljə,mɛməɹəbɪliə mɛməɹəbɪliə
memorable,mɛmɝəbəl mɛmɚəbəl,mɛməɹəbəl mɛməɹəbəl
memorandum,mɛmɝændəm mɛmɚændəm,mɛməɹændəm mɛməɹændəm mɛməɹændəm mɛməɹændəm
memorize,mɛmɝaɪz mɛmɚaɪz,mɛməɹaɪz mɛməɹɑɪz
memory,mɛmɝi mɛmɚi,mɛməɹi mɛməɹi mɛməɹi mɛməɹi mɛməɹi mɛməɹi
mendacity,mɛndæsɪti,mɛndæsəti
meningitis,mɛnəndʒaɪtəs,mɛnɪndʒaɪtəs mɛnəndʒɑɪtɪs
menopausal,mɛnəpaʊzəl,mɛnəpɑzəl
menopause,mɛnəpaʊz,mɛnəpɑz mɛnəpɔz
menstrual,mɛnstɹuəl,mɛnstɹəl
menswear,mɛnzweɪɹ,mɛnzwɛɹ mɛnzwɛɹ mɛnzwɛəɹ
mentoring,mɛntɝɪŋ mɛntɚɪŋ,mɛntɔɹɪŋ
mercenary,mɝsənɛɹi mɚsənɛɹi,mɝsənɹi mɜɹsənɛɹi
merciless,mɝsələs mɚsələs,mɝsɪləs mɜɹsɪləs
mercilessly,mɝsələsli mɚsələsli,mɝsɪləsli
mercury,mɝkjɝi mɝkjɚi mɚkjɝi mɚkjɚi,mɝkjəɹi mɜɹkjəɹi
meridian,mɝɪdiən mɚɪdiən,məɹɪdiən məɹɪdiən
merino,mɝinoʊ mɚinoʊ,məɹinoʊ
merit,mɛɹət,mɛɹɪt mɛɹɪt
meritocracy,mɛɹɪtɔkɹəsi,mɛɹətɑkɹəsi
mesmerism,mɛsmɝɪzəm mɛsmɚɪzəm,mɛzməɹɪzəm
mesmerize,mɛzmɝaɪz mɛzmɚaɪz,mɛzməɹaɪz mɛzməɹaɪz mɛzməɹɑɪz
mesmerizing,mɛzmɝaɪzɪŋ mɛzmɚaɪzɪŋ,mɛzməɹaɪzɪŋ
meson,meɪzɑn meɪzɒn,mɛzɑn mɛzɑn mɛs
mesquite,mɛskit,məskit məskit
message,mɛsədʒ,mɛsɪdʒ mɛsɪdʒ mɛsɪdʒ mɛsɪdʒ mɛsɪdʒ
messenger,mɛsəndʒɝ mɛsəndʒɚ,mɛsɪndʒɚ mɛsəndʒəɹ
meta,mitə,mɛtə
metamorphosis,mɛtəmɔɹfəsəs,mɛtəmɔɹfəsɪs mɛtəmɔɹfəsɪs mɛtəmɔɹfəsɪs mɛtəmɔɹfəsɪs
metaphorically,mɛtəfɔɹɪkli,mɛtəfɔɹɪkəli
metastasize,mətæstəsaɪz,mɛtæstəsaɪz
meteor,mitiɝ mitiɚ,mitiɔɹ mitiəɹ ɔɹ
meteorite,mitiɔɹaɪt,tiəɹaɪt mitiəɹɑɪt
meteorological,mitiɔɹəlɑdʒɪkəl mitiɔɹəlɒdʒɪkəl,mitiɚəlɑdʒɪkəl
meteorologist,mitiɝɑlədʒɪst mitiɝɒlədʒɪst mitiɚɑlədʒɪst mitiɚɒlədʒɪst,mitiəɹɑlədʒɪst
meteorology,mitiɝɑlədʒi mitiɝɒlədʒi mitiɚɑlədʒi mitiɚɒlədʒi,mitiəɹɑlədʒi mitiəɹɑlədʒi
methodical,məθɑdəkəl məθɒdəkəl,məθɑdɪkəl məθɑdɪkəl məθɑdɪkəl
metropolis,mətɹɑpələs mətɹɒpələs,mətɹɑpəlɪs mətɹɑpəlɪs
mezzo,mɛzoʊ,mɛtsoʊ
mic,mɪk,maɪk mɑɪk
microbiologist,maɪkɹoʊbiɑlədʒɪst maɪkɹoʊbiɒlədʒɪst,maɪkɹoʊbaɪɑlədʒɪst
microcosm,maɪkɹəkɑzəm maɪkɹəkɒzəm,maɪkɹoʊkɑzəm mɑɪkɹəkɑzəm
microeconomics,maɪkɹoʊɛkənɑmɪks maɪkɹoʊɛkənɒmɪks,maɪkɹoʊikənɑmɪks
microfiche,maɪkɹoʊfitʃ,maɪkɹoʊfiʃ mɑɪkɹəfiʃ
microfilm,maɪkɹəfɪlm,maɪkɹoʊfɪlm mɑɪkɹəfɪlm
microscopically,maɪkɹəskɑpɪkli maɪkɹəskɒpɪkli,maɪkɹəskɑpɪkəli maɪkɹəskɑpɪkəli
microscopy,maɪkɹʌskəpi,maɪkɹɑskəpi
microwavable,maɪkɹoʊweɪvəbəl,maɪkɹəweɪvəbəl
microwave,maɪkɹəweɪv,maɪkɹoʊweɪv maɪkɹoʊweɪv mɑɪkɹəweɪv
midafternoon,mɪdæftɝnun mɪdæftɚnun,æftɚtənun mɪdæftəɹnun
midget,mɪdʒət,mɪdʒɪt mɪdʒɪt
midi,midi,mɪdi mɪdi
mignon,mɪɡnən,mɪnjɑn
mileage,maɪlədʒ,maɪlɪdʒ maɪlɪdʒ maɪlɪdʒ mɑɪlɪdʒ mɑɪlɪdʒ
militaristic,mɪlɪtɝɪstɪk mɪlɪtɚɪstɪk,mɪlətəɹɪstɪk
militarized,mɪlətɝaɪzd mɪlətɚaɪzd,mɪlətəɹaɪzd
milkman,mɪlkmæn,mɪlkmən
millet,mɪlət,mɪlɪt
milliner,mɪlɪnɝ mɪlɪnɚ,mɪlənɚ
millisecond,mɪlɪsɛkənd,mɪləsɛkənd
minaret,mɪnɝɛt mɪnɚɛt,mɪnəɹɛt
mineral,mɪnɝəl mɪnɚəl,mɪnəɹəl mɪnəɹəl mɪnəɹəl mɪnəɹəl
mineralogy,mɪnɝɑlədʒi mɪnɝɒlədʒi mɪnɚɑlədʒi mɪnɚɒlədʒi,mɪnəɹælədʒi
minerals,mɪnɝəlz mɪnɚəlz,mɪnəɹəl
miniaturization,mɪniətʃɝɪzeɪʃən mɪniətʃɚɪzeɪʃən,mɪniətʃɚəzeɪʃən
minibus,mɪnibAH2s,mɪnibʌs mɪnibʌs
miniscule,mɪnɪskjul,mɪnəskjul
miniseries,mɪnɪsɛɹiz,mɪnisɪɹiz mɪnisɪəɹiz
ministerial,mɪnɪstiɹiəl,mɪnəstɪɹiəl mɪnəstɪɹiəl
minutely,mɪnətli,maɪnutli
miraculous,mɝækjələs mɚækjələs,məɹækjələs məɹækjələs
miraculously,mɝækjələsli mɚækjələsli,məɹækjələsli
mirage,mɝɑʒ mɝɒʒ mɚɑʒ mɚɒʒ,mɪɹɑʒ mɪɹɑʒ məɹɑʒ
misapprehension,mɪsæpɹihɛnʃən,mɪsæpɹəhɛnʃən mɪsæpɹɪhɛntʃən
misbegotten,mɪsbəɡɑtən mɪsbəɡɒtən,mɪsbɪɡɑtən mɪsbɪɡɑtən
misbehave,mɪsbəheɪv,mɪsbɪheɪv mɪsbɪheɪv mɪsbɪheɪv
