Word,Pronunciation
sustained, səˈsteɪnd səˈsteɪnd səˈsteɪnd
sustenance, ˈsʌstənəns ˈsʌstənəns ˈsʌstənəns ˈsʌs·tə·nəns
suture, ˈsuːtʃɚ
svelte, svelt
swab, swɑːb swɑːb swɑb
swagger, ˈswæɡɚ ˈswæɡ·ər
swain, sweɪn
swallow, ˈswɑːloʊ ˈswɑːloʊ ˈswɑːloʊ ˈswɑːloʊ ˈswɑːloʊ ˈswɑːloʊ ˈswɑl·oʊ ˈswɑl·oʊ ˈswɑl·oʊ
swam, swæm swæm
swami, ˈswɑːmi
swamp," swɑːmp swɑmp, swɔmp"
swampy, ˈswɑːmpi
swan, swɑːn swɑn
swank, swæŋk
swanky, ˈswæŋki ˈswæŋki ˈswæŋ·ki
swap, swɑːp swɑp
swarm, swɔːrm swɔːrm swɔrm
swarthy," ˈswɔːrði ˈswɔr·ði, -θi"
swashbuckling, ˈswɑːʃˌbʌklɪŋ
swastika, ˈswɑːstɪkə ˈswɑːstɪkə ˈswɑs·tɪ·kə ˈswɑs·tɪ·kə
swat, swɑːt swɑːt swɑt
swatch, swɑːtʃ
swath," swɑθ, swɔθ"
sway, sweɪ sweɪ sweɪ sweɪ sweɪ
swear, swer swer
swearing, ˈswerɪŋ
sweat, swet swet swet swet
sweated, ˈswet̬ɪd
sweater, ˈswet̬ɚ ˈswet̬·ər
sweatpants, ˈswetpænts ˈswetˌpænts
sweats, swets
sweatshirt, ˈswetʃɝːt ˈswetˌʃɜrt
sweatshop, ˈswetʃɑːp ˈswetˌʃɑp
sweatsuit, ˈswetsuːt
sweaty, ˈswet̬i ˈswet̬·i
swede, swiːd
sweep, swiːp swiːp swiːp swiːp swiːp swiːp swiːp swip swip swip swip
sweeper, ˈswiːpɚ ˈswiːpɚ
sweeping, ˈswiːpɪŋ ˈswiːpɪŋ ˈswi·pɪŋ
sweepstake, ˈswiːpsteɪk
sweepstakes, ˈswiːpsteɪks ˈswipˌsteɪks
sweet, swiːt swiːt swiːt swiːt swiːt swit swit swit swit
sweeten, ˈswiːtən ˈswiːtən ˈswiːtən ˈswi·tən
sweetener, ˈswiːtnɚ ˈswiːtnɚ ˈswiːtnɚ ˈswi·tən·ər
sweetheart, ˈswiːthɑːrt ˈswiːthɑːrt ˈswiːthɑːrt ˈswitˌhɑrt ˈswitˌhɑrt
sweetie, ˈswiːt̬i ˈswiːt̬i ˈswiːt̬i
sweetly, ˈswiːtli
sweetness, ˈswiːtnəs
sweets, swits
swell, swel swel swel
swelling, ˈswelɪŋ
swelter, ˈsweltɚ
sweltering, ˈsweltɚɪŋ ˈswel·tər·ɪŋ
swept, swept swept
swerve, swɝːv swɝːv swɜrv
swift, swɪft swɪft
swiftly, ˈswɪftli
swiftness, ˈswɪftnəs
swig, swɪɡ swɪɡ
swill, swɪl swɪl swɪl
swim, swɪm swɪm swɪm swɪm
swimmer, ˈswɪmɚ
swimmers, ˈswɪmɚz
swimming, ˈswɪmɪŋ
swimsuit, ˈswɪmsuːt ˈswɪmˌsut
swimwear, ˈswɪmwer
swindle, ˈswɪndəl
swindler, ˈswɪndəlɚ
swine, swaɪn swaɪn swɑɪn swɑɪn
swing, swɪŋ swɪŋ swɪŋ swɪŋ swɪŋ swɪŋ swɪŋ swɪŋ swɪŋ swɪŋ
swinger, ˈswɪŋɚ
swinging, ˈswɪŋɪŋ ˈswɪŋ·ɪŋ
swipe, swaɪp swaɪp swaɪp swaɪp swɑɪp swɑɪp
swirl, swɝːl swɝːl swɜrl
swirling, ˈswɝːlɪŋ
swish, swɪʃ swɪʃ
switch, swɪtʃ swɪtʃ swɪtʃ swɪtʃ swɪtʃ
switchblade, ˈswɪtʃbleɪd ˈswɪtʃˌbleɪd
switchboard," ˈswɪtʃbɔːrd ˈswɪtʃˌbɔrd, -ˌboʊrd"
switches, swɪtʃ
swivel, ˈswɪvəl ˈswɪv·əl
swollen, ˈswoʊlən ˈswoʊ·lən
swoon, swuːn swuːn swun swun
swooning, ˈswuːnɪŋ
swoop, swuːp swuːp swup
swoosh, swuːʃ
sword," sɔːrd sɔrd, soʊrd"
swordfish," ˈsɔːrdfɪʃ ˈsɔrdˌfɪʃ, ˈsoʊrd-"
swore," swɔːr swɔr, swoʊr"
sworn," swɔːrn swɔrn, swoʊrn"
swum, swʌm swʌm
swung, swʌŋ swʌŋ
sycamore," ˈsɪkəmɔːr ˈsɪk·əˌmɔr, -ˌmoʊr"
sycophantic, ˌsɪkəˈfæntɪk
syllable, ˈsɪləbəl ˈsɪl·ə·bəl
syllabus, ˈsɪləbəs ˈsɪl·ə·bəs
symbiosis," ˌsɪmbaɪˈoʊsɪs ˌsɪmbaɪˈoʊsɪs ˌsɪmˌbiˈoʊ·sɪs, ˌsɪm·bɑɪ-"
symbiotic, ˌsɪmbaɪˈɑːt̬ɪk ˌsɪmbaɪˈɑːt̬ɪk
symbol, ˈsɪmbəl ˈsɪmbəl ˈsɪmbəl ˈsɪmbəl ˈsɪm·bəl ˈsɪm·bəl
symbolic, sɪmˈbɑːlɪk sɪmˈbɑːlɪk
symbolically, sɪmˈbɑːlɪkəli
symbolism, ˈsɪm·bəˌlɪz·əm
symbolize, ˈsɪmbəlaɪz ˈsɪm·bəˌlɑɪz
symmetrical, sɪˈmetrɪkəl sɪˈmetrɪkəl
symmetry, ˈsɪmətri ˈsɪmətri ˈsɪm·ɪ·tri
sympathetic, ˌsɪmpəˈθet̬ɪk ˌsɪmpəˈθet̬ɪk ˌsɪmpəˈθet̬ɪk ˌsɪm·pəˈθet̬·ɪk ˌsɪm·pəˈθet̬·ɪk ˌsɪm·pəˈθet̬·ɪk
sympathetically, ˌsɪmpəˈθet̬ɪkəli ˌsɪmpəˈθet̬ɪkəli ˌsɪmpəˈθet̬ɪkəli ˌsɪmpəˈθet̬ɪkəli
sympathize, ˈsɪmpəθaɪz ˈsɪmpəθaɪz ˈsɪm·pəˌθɑɪz ˈsɪm·pəˌθɑɪz
sympathizer, ˈsɪmpəθaɪzɚ ˈsɪm·pəˌθɑɪ·zər
sympathy, ˈsɪmpəθi ˈsɪmpəθi ˈsɪm·pə·θi ˈsɪm·pə·θi
symphonic, sɪmˈfɑːnɪk
symphony, ˈsɪmfəni ˈsɪm·fə·ni
symposium, sɪmˈpoʊziəm
symptom, ˈsɪmptəm ˈsɪmptəm ˈsɪmp·təm ˈsɪmp·təm
symptomatic, ˌsɪmptəˈmæt̬ɪk ˌsɪmptəˈmæt̬ɪk
synagogue, ˈsɪnəɡɑːɡ ˈsɪn·əˌɡɑɡ
synapse," ˈsaɪnæps ˈsɪn·æps, sɪˈnæps"
sync, sɪŋk sɪŋk sɪŋk
synchronicity, ˌsɪŋkrəˈnɪsət̬i
synchronization, ˌsɪŋkrənəˈzeɪʃən ˌsɪŋkrənəˈzeɪʃən
synchronize, ˈsɪŋkrənaɪz ˈsɪŋkrənaɪz ˈsɪŋ·krəˌnɑɪz ˈsɪŋ·krəˌnɑɪz
synchronized, ˈsɪŋkrənaɪzd ˈsɪŋkrənaɪzd
syncopate, ˈsɪŋkəpeɪt
syncopated, ˈsɪŋkəpeɪt̬ɪd
syncopation, ˌsɪŋkəˈpeɪʃən ˌsɪŋ·kəˈpeɪ·ʃən
syncope, ˈsɪŋkəpi
syndicate, ˈsɪndəkət ˈsɪndəkət ˈsɪn·dɪ·kət
syndicated, ˈsɪndəkeɪt̬ɪd ˈsɪndəkeɪt̬ɪd ˈsɪn·dɪˌkeɪ·t̬ɪd
syndication, ˌsɪndəˈkeɪʃən ˌsɪndəˈkeɪʃən
syndrome," ˈsɪndroʊm ˈsɪndroʊm ˈsɪndroʊm ˈsɪn·droʊm, -drəm ˈsɪn·droʊm, -drəm"
synergistic, sɪnɚˈdʒɪstɪk
synergy, ˈsɪnɚdʒi
synod, ˈsɪnəd
synonym, ˈsɪnənɪm ˈsɪn·əˌnɪm
synonymous, sɪˈnɑːnəməs sɪˈnɑːnəməs sɪˈnɑn·ə·məs sɪˈnɑn·ə·məs
synopsis, sɪˈnɑːpsɪs
synoptic, sɪˈnɑːptɪk
syntax, ˈsɪntæks ˈsɪntæks ˈsɪn·tæks
synthesis, ˈsɪnθəsɪs ˈsɪnθəsɪs ˈsɪn·θə·sɪs
synthesize, ˈsɪnθəsaɪz
synthesizer, ˈsɪnθəsaɪzɚ ˈsɪn·θəˌsɑɪ·zər
synthetic, sɪnˈθet̬ɪk sɪnˈθet̬ɪk sɪnˈθet̬ɪk sɪnˈθet̬·ɪk
synthetically, sɪnˈθet̬ɪkəli sɪnˈθet̬ɪkəli
syphilis, ˈsɪfəlɪs ˈsɪf·ə·lɪs
syringe, səˈrɪndʒ səˈrɪndʒ
syrup," ˈsɪrəp ˈsɪrəp ˈsɪr·əp, ˈsɜr-"
system, ˈsɪstəm ˈsɪstəm ˈsɪstəm ˈsɪstəm ˈsɪstəm ˈsɪstəm ˈsɪstəm ˈsɪs·təm ˈsɪs·təm ˈsɪs·təm ˈsɪs·təm
systematic, ˌsɪstəˈmæt̬ɪk ˌsɪs·təˈmæt̬·ɪk
systematically, ˌsɪstəˈmæt̬ɪkəli
systemic, sɪˈstemɪk sɪˈstemɪk sɪˈstem·ɪk
systemically, sɪˈstemɪkəli sɪˈstemɪkəli
ta, tɑː
tab, tæb tæb tæb tæb tæb tæb tæb tæb tæb
tabby, ˈtæbi
tabernacle, ˈtæbɚˌnækəl ˈtæbɚˌnækəl ˈtæbɚˌnækəl ˈtæb·ərˌnæk·əl
table, ˈteɪbəl ˈteɪbəl ˈteɪbəl ˈteɪbəl ˈteɪbəl ˈteɪ·bəl ˈteɪ·bəl ˈteɪ·bəl
tableau, ˈtæbloʊ
tablecloth, ˈteɪbəlklɑːθ ˈteɪ·bəlˌklɔθ
tablespoon, ˈteɪbəlspuːn ˈteɪbəlspuːn ˈteɪ·bəlˌspun
tablet, ˈtæblət ˈtæblət ˈtæblət ˈtæb·lɪt ˈtæb·lɪt ˈtæb·lɪt
tabletop, ˈteɪbəltɒp
tableware, -wer
tabling, ˈteɪbəlɪŋ ˈteɪbəlɪŋ ˈteɪbəlɪŋ ˈteɪbəlɪŋ
tabloid, ˈtæblɔɪd ˈtæb·lɔɪd
taboo," təˈbuː təˈbu, tæ-"
tabulate, ˈtæbjəleɪt ˈtæb·jəˌleɪt
tacit, ˈtæsɪt ˈtæsɪt ˈtæs·ɪt
tacitly, ˈtæsɪtli
taciturn, ˈtæsətɝːn ˈtæs·ɪˌtɜrn
tack, tæk tæk tæk tæk tæk tæk
tacking, ˈtækɪŋ
tackle, ˈtækəl ˈtækəl ˈtæk·əl ˈtæk·əl
tacky, ˈtæki ˈtæki ˈtæk·i ˈtæk·i
taco, ˈtɑːkoʊ ˈtɑ·koʊ
tact, tækt tækt
tactful, ˈtæktfəl
tactfully, ˈtæktfəli
tactic, ˈtæktɪk ˈtæk·tɪk ˈtæk·tɪk
tactical, ˈtæktɪkəl ˈtæktɪkəl ˈtæk·tɪ·kəl ˈtæk·tɪ·kəl
tactically, ˈtæktɪkəli ˈtæktɪkəli
tactician, tækˈtɪʃən
tactile, ˈtæktəl ˈtæktəl ˈtæktəl
tactless, ˈtæktləs
tad, tæd
tadpole, ˈtædpoʊl ˈtædˌpoʊl
taffeta, ˈtæfɪt̬ə
taffy, ˈtæfi
tag, tæɡ tæɡ tæɡ tæɡ tæɡ tæɡ tæɡ tæɡ tæɡ tæɡ
tagged, tæɡd tæɡd
tagging, ˈtæɡɪŋ ˈtæɡɪŋ ˈtæɡɪŋ ˈtæɡɪŋ ˈtæɡɪŋ ˈtæɡɪŋ
tail, teɪl teɪl teɪl teɪl teɪl teɪl teɪl
tailgate, ˈteɪlɡeɪt ˈteɪlɡeɪt ˈteɪlˌɡeɪt
tailor, ˈteɪlɚ ˈteɪ·lər
tailored, ˈteɪlɚd ˈteɪlɚd ˈteɪlɚd ˌteɪ·lərd
tailpipe, ˈteɪlpaɪp ˈteɪlˌpɑɪp
tails, teɪlz
tailspin, ˈteɪlˌspɪn ˈteɪlˌspɪn ˈteɪlˌspɪn
taint, teɪnt teɪnt
tainted, ˈteɪn·tɪd
take, teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk teɪk
taken, ˈteɪkən ˈteɪ·kən
takeoff, ˈteɪkɑːf ˈteɪkɑːf ˈteɪkˌɔf ˈteɪkˌɔf
takeout, ˈteɪkaʊt ˈteɪkˌɑʊt
takeover, ˈteɪkˌoʊvɚ ˈteɪkˌoʊ·vər
taker, ˈteɪkɚ ˈteɪkɚ ˈteɪkɚ ˈteɪ·kər ˈteɪ·kər
takings, ˈteɪkɪŋz
tale, teɪl teɪl
talent, ˈtælənt ˈtælənt ˈtælənt ˈtælənt ˈtælənt ˈtæl·ənt
talented, ˈtælənt̬ɪd
talisman, ˈtælɪzmən
talk, tɑːk tɑːk tɑːk tɔk
talkative, ˈtɑːkət̬ɪv ˈtɔ·kə·t̬ɪv
talker, ˈtɑːkɚ ˈtɔ·kər
talkie, ˈtɑːki
talky, ˈtɑːki ˈtɑːki
tall, tɑːl tɔl tɔl
tallow, ˈtæloʊ
tally, ˈtæli ˈtæl·i
talon, ˈtælən ˈtæl·ən
tam, tæm tæm
tamarisk, ˈtæmɚɪsk
tambourine, ˌtæmbəˈriːn ˌtæm·bəˈrin
tame, teɪm teɪm teɪm teɪm
tamer, ˈteɪmɚ
tamp, tæmp
tamper, ˈtæmpɚ ˈtæmpɚ ˈtæm·pər
tampering, ˈtæmpɚɪŋ ˈtæmpɚɪŋ
tampon, ˈtæmpɑːn ˈtæm·pɑn
tan, tæn tæn tæn
tandem, ˈtændəm ˈtæn·dəm ˈtæn·dəm
tang, tæŋ tæŋ
tangent, ˈtændʒənt ˈtændʒənt ˈtæn·dʒənt ˈtæn·dʒənt ˈtæn·dʒənt
tangential, tænˈdʒenʃəl tænˈdʒenʃəl tænˈdʒen·tʃəl
tangerine, ˈtændʒəriːn ˈtændʒəriːn ˌtæn·dʒəˈrin
tangible, ˈtændʒəbəl ˈtæn·dʒə·bəl
tangle, ˈtæŋɡəl ˈtæŋ·ɡəl
tangled, ˈtæŋɡəld ˈtæŋɡəld ˈtæŋ·ɡəld
tango, ˈtæŋɡoʊ ˈtæŋ·ɡoʊ
tank, tæŋk tæŋk tæŋk tæŋk tæŋk tæŋk
tankard, ˈtæŋkɚd ˈtæŋ·kərd
tanker, ˈtæŋkɚ ˈtæŋ·kər
tanking, ˈtæŋkɪŋ
tanner, ˈtænɚ ˈtænɚ
tansy, ˈtænzi
tantalize, ˈtænəlaɪz ˈtæn·təlˌɑɪz
tantalizing, ˈtænt̬əlaɪzɪŋ ˈtæn·təlˌɑɪ·zɪŋ
tantalizingly, ˈtænt̬əlaɪzɪŋli
tantamount, ˈtænt·əˌmɑʊnt
tantric, ˈtæntrɪk
tantrum, ˈtæntrəm ˈtæn·trəm
tap, tæp tæp tæp tæp tæp tæp tæp tæp
tapas, ˈtæpəs
tape, teɪp teɪp teɪp teɪp teɪp
taper, ˈteɪpɚ ˈteɪpɚ ˈteɪpɚ ˈteɪ·pər
tapered, ˈteɪpɚd
tapering, ˈteɪpɚɪŋ
tapestry, ˈtæpəstri ˈtæpəstri ˈtæp·ə·stri
taps, tæps tæps
tar, tɑːr tɑːr tɑr tɑr
tarantula, təˈræntʃələ təˈræn·tʃə·lə
tardiness, ˈtɑːrdinəs
tardy, ˈtɑːrdi ˈtɑr·di
target, ˈtɑːrɡɪt ˈtɑːrɡɪt ˈtɑːrɡɪt ˈtɑːrɡɪt ˈtɑr·ɡɪt ˈtɑr·ɡɪt ˈtɑr·ɡɪt
tariff, ˈterɪf ˈtær·ɪf
tarmac, ˈtɑːrmæk ˈtɑr·mæk
tarnish, ˈtɑːrnɪʃ ˈtɑːrnɪʃ ˈtɑr·nɪʃ ˈtɑr·nɪʃ
tarnished, ˈtɑːrnɪʃt ˈtɑːrnɪʃt
taro, ˈteroʊ
tarot, ˈteroʊ ˈtær·oʊ
tarp, tɑːrp tɑrp
tarry, ˈteri ˈtær·i
tarsus, ˈtɑːrsəs
tart, tɑːrt tɑːrt tɑːrt tɑrt
tartan, ˈtɑːrən ˈtɑr·tən
tartar, ˈtɑːrt̬ɚ ˈtɑːrt̬ɚ ˈtɑr·t̬ər
tartly, ˈtɑːrtli
tash, tæʃ
task, tæsk tæsk tæsk tæsk tæsk
tasker, ˈtæskɚ
tasking, ˈtæskɪŋ ˈtæskɪŋ
taskmaster, ˈtæskˌmæstɚ ˈtæskˌmæs·tər
tassel, ˈtæsəl ˈtæs·əl
taste, teɪst teɪst teɪst teɪst teɪst teɪst teɪst teɪst teɪst
tasteful, ˈteɪstfəl ˈteɪst·fəl
tastefully, ˈteɪstfəli
tasteless, ˈteɪstləs ˈteɪstləs ˈteɪstləs ˈteɪst·ləs ˈteɪst·ləs
taster, ˈteɪstɚ ˈteɪstɚ
tasting, ˈteɪstɪŋ
tasty, ˈteɪsti ˈteɪsti ˈteɪ·sti
tat, tæt tæt
tater, ˈteɪt̬ɚ ˈteɪt̬ɚ
tattered, ˈtæt̬ɚd ˈtæt̬·ərd
tatters, ˈtæt̬·ərz
tattle, ˈtæt̬əl
tattoo, tætˈuː tætˈuː tæˈtu
tattooed, təˈtuːd
tatty, ˈtæt̬i
taught, tɑːt tɔt
taunt," tɑːnt tɔnt, tɑnt"
taunting, ˈtɑːnt̬ɪŋ
taut, tɑːt tɑːt tɑːt tɔt
tavern, ˈtævɚn ˈtæv·ərn
tawdry, ˈtɑːdri ˈtɑːdri ˈtɔ·dri
tawny, ˈtɑːni ˈtɔ·ni
tax, tæks tæks
taxable, ˈtæksəbəl ˈtæk·sə·bəl
taxation, tækˈseɪʃən tækˈseɪ·ʃən
taxed, tækst tækst
taxi, ˈtæksi ˈtæk·si
taxicab, ˈtæksikæb
taxidermist, ˈtæksɪdɝːmɪst
taxidermy, ˈtæksɪdɝːmi
taxing, ˈtæksɪŋ ˈtæk·sɪŋ
taxpayer, ˈtæksˌpeɪɚ ˈtæksˌpeɪ·ər
te, tiː
tea, tiː tiː tiː tiː ti ti
teach, tiːtʃ titʃ
teachable, ˈtiːtʃəbəl
teacher, ˈtiːtʃɚ ˈti·tʃər
teaching, ˈtiːtʃɪŋ
teachings, ˈti·tʃɪŋz
teacup, ˈtiːkʌp
teak, tiːk tiːk tik
teal, tiːl tiːl
team, tiːm tiːm tiːm tim tim
teammate, ˈtiːmmeɪt ˈtimˌmeɪt
teamster, ˈtiːmstɚ ˈtim·stər
teamwork, ˈtiːmwɝːk ˈtimˌwɜrk
teapot, ˈtiːpɑːt ˈtiˌpɑt
tear, ter ter tɪər
tearful, ˈtɪrfəl ˈtɪər·fəl
tearfully, ˈtɪrfəli
teary, ˈtɪri ˈtɪri
tease, tiːz tiːz tiːz tiz
teaser, ˈtiːzɚ ˈtiːzɚ ˈtiːzɚ ˈtiːzɚ ˈtiːzɚ
teaspoon, ˈtiːspuːn ˈtiːspuːn ˈtiˌspun
teaspoonful, ˈtiːspuːnfʊl
teat," tiːt tiːt tit, tɪt"
tech, tek
techie, ˈteki
technical, ˈteknɪkəl ˈteknɪkəl ˈteknɪkəl ˈtek·nɪ·kəl
technicality, ˌteknəˈkælət̬i ˌtek·nɪˈkæl·ɪ·t̬i
technically, ˈteknɪkəli ˈteknɪkəli ˈteknɪkəli ˈtek·nɪ·kli
technician, tekˈnɪʃən tekˈnɪʃən tekˈnɪʃ·ən
technicolor, ˈteknɪˌkʌlɚ
technique, tekˈniːk tekˈnik tekˈnik
techno, ˈteknoʊ
technocrat, ˈteknəkræt
technological, ˌteknəˈlɑːdʒɪkəl
technologically, ˌteknəˈlɑːdʒɪkəli
technology, tekˈnɑːlədʒi tekˈnɑl·ə·dʒi tekˈnɑl·ə·dʒi
technophobe, ˈteknəfoʊb
tectonic, tekˈtɑːnɪk tekˈtɑːnɪk
tectonics, tekˈtɑːnɪks
teddy, ˈtedi ˈtedi
tedious, ˈtiːdiəs ˈtid·i·əs
tediously, ˈtiːdiəsli
tedium, ˈtiːdiəm
tee, tiː tiː tiː ti
teem, tiːm tim
teeming, ˈtiːmɪŋ ˈti·mɪŋ
teen, tiːn
teenage, ˈtiːneɪdʒ ˈtiːneɪdʒ
teenager, ˈtiːnˌeɪdʒɚ ˈtinˌeɪ·dʒər
teens, tiːnz tinz tinz
teensy, ˈtiːnsiː
teeny, ˈtiːni ˈti·ni
teeter, ˈtiːt̬ɚ ˈti·t̬ər
teeth, tiːθ tiθ
teethe, tiːð tið
teetotaler, ˌtiːˈtoʊt̬əlɚ
teflon, ˈteflɑːn
telecast, ˈtelɪkæst
telecommunications, ˌteləkəˌmjuːnəˈkeɪʃənz ˌtel·ə·kəˌmju·nɪˈkeɪ·ʃənz
telecommuter, ˈteləkəmjuːt̬ɚ
teleconference, ˈteləˌkɑːnfɚəns
teleconferencing, ˈteləˌkɑːnfɚənsɪŋ
telegenic, ˌteləˈdʒenɪk
telegram, ˈteləɡræm ˈtel·əˌɡræm
telegraph, ˈteləɡræf ˈtel·əˌɡræf
telemarketing, ˈteləˌmɑːrkət̬ɪŋ ˈtel·əˌmɑr·kɪ·t̬ɪŋ
telemetry, təˈlemətri
telepathic, ˌteləˈpæθɪk
telepathy, təˈlepəθi təˈlep·ə·θi
telephone, ˈteləfoʊn ˈtel·əˌfoʊn
telephonic, ˌteləˈfɑːnɪk
teleport, ˈteləpɔːrt
teleprompter, ˈteləˌprɑːmptɚ
telescope, ˈteləskoʊp ˈtel·əˌskoʊp
telethon, ˈteləθɑːn ˈtel·əˌθɑn
televangelist, ˌtelɪˈvændʒəlɪst
televise, ˈteləvaɪz ˈtel·əˌvɑɪz
televised, ˈteləvaɪzd
television, ˈteləvɪʒən ˈtel·əˌvɪʒ·ən ˈtel·əˌvɪʒ·ən
telex, ˈteleks
tell, tel tel tel tel tel tel tel tel
teller, ˈtelɚ ˈtelɚ ˈtelɚ ˈtel·ər
telling, ˈtelɪŋ
telltale, ˈtelteɪl ˈtelˌteɪl
telly, ˈteli
temblor, ˈtemblɚ
temerity, təˈmerət̬i
temp, temp temp
temper, ˈtempɚ ˈtempɚ ˈtem·pər ˈtem·pər ˈtem·pər
tempera, ˈtempɚə
temperament, ˈtempɚəmənt ˈtempɚəmənt ˈtem·prə·mənt
temperamental, ˌtempɚəˈment̬əl ˌtempɚəˈment̬əl ˌtempɚəˈment̬əl ˌtem·prəˈmen·təl ˌtem·prəˈmen·təl
temperamentally, ˌtempɚəˈment̬əli ˌtempɚəˈment̬əli ˌtempɚəˈment̬əli
temperance, ˈtempɚəns ˈtempɚəns ˈtem·pər·əns
temperate, ˈtempɚət ˈtempɚət ˈtempɚət ˈtem·pər·ət
temperature," ˈtempɚətʃɚ ˈtempɚətʃɚ ˈtem·pər·ə·tʃər, -ˌtʃʊr ˈtem·pər·ə·tʃər, -ˌtʃʊr"
tempered, ˈtempɚd ˈtempɚd ˈtempɚd
tempest, ˈtempɪst ˈtem·pəst
tempestuous, temˈpestʃuəs temˈpestʃuəs temˈpes·tʃu·əs
template, ˈtemplət ˈtemplət ˈtemplət ˈtem·plət
temple, ˈtempəl ˈtempəl ˈtem·pəl ˈtem·pəl
tempo, ˈtempoʊ ˈtempoʊ ˈtem·poʊ ˈtem·poʊ
temporal, ˈtempɚəl ˈtempɚəl ˈtempɚəl
temporally, ˈtempɚəli
temporarily, ˈtempərerəli
temporary, ˈtempəreri ˈtem·pəˌrer·i
temporize, ˈtempəraɪz
tempt, tempt tempt
temptation, tempˈteɪʃən tempˈteɪʃən tempˈteɪ·ʃən
tempting, ˈtemptɪŋ
temptress, ˈtemptrɪs
ten, ten ten ten
tenable, ˈtenəbəl
tenacious, təˈneɪʃəs təˈneɪ·ʃəs
tenaciously, təˈneɪʃəsli təˈneɪʃəsli
tenacity, təˈnæsət̬i
tenancy, ˈtenənsi ˈtenənsi
tenant, ˈtenənt ˈten·ənt
tend, tend tend tend tend
tendency, ˈtendənsi ˈtendənsi ˈtendənsi ˈten·dən·si
tendentious, tenˈdenʃəs
tender, ˈtendɚ ˈtendɚ ˈtendɚ ˈtendɚ ˈtendɚ ˈten·dər ˈten·dər ˈten·dər ˈten·dər
tenderloin, ˈtendɚlɔɪn
tenderly, ˈtendɚli
tenderness, ˈtendɚnəs ˈtendɚnəs ˈtendɚnəs ˈtendɚnəs
tendon, ˈtendən ˈten·dən
tenement, ˈtenəmənt ˈten·ə·mənt
tenet, ˈtenɪt ˈten·ɪt
tenfold, ˈtenfoʊld ˈtenfoʊld
tenner, ˈtenɚ
tennis, ˈtenɪs ˈten·ɪs
tenor, ˈtenɚ ˈtenɚ ˈten·ər ˈten·ər
tenpenny, ˈtenpeni
tense, tens tens tens tens
tensely, ˈtensli ˈtensli ˈtens·li ˈtens·li
tensile, ˈtensɪl
tension, ˈtenʃən ˈtenʃən ˈtenʃən ˈten·ʃən ˈten·ʃən ˈten·ʃən
tent, tent tent
tentacle, ˈtent̬əkəl ˈten·tɑ·kəl
tentative, ˈtent̬ət̬ɪv ˈten·tə·t̬ɪv
tentatively, ˈtent̬ət̬ɪvli ˈtent̬ət̬ɪvli
tenth, tenθ tenθ tenθ tenθ
tenuous, ˈtenjuəs ˈtenjuəs ˈten·ju·əs
tenure, ˈtenjɚ ˈtenjɚ ˈten·jər
tenured, ˈtenjɚd
tepid, ˈtepɪd ˈtepɪd ˈtep·ɪd
tequila, təˈkiːlə təˈki·lə
terabyte, ˈterəbaɪt ˈterəbaɪt
teriyaki, terɪˈjæki
term, tɝːm tɝːm tɝːm tɝːm tɝːm tɝːm tɜrm tɜrm tɜrm tɜrm
terminal, ˈtɝːmənəl ˈtɝːmənəl ˈtɝːmənəl ˈtɜr·mə·nəl ˈtɜr·mə·nəl ˈtɜr·mə·nəl
terminally, ˈtɝːmənəli ˈtɝːmənəli ˈtɜr·mə·nəl·i
terminate, ˈtɝːməneɪt ˈtɝːməneɪt ˈtɝːməneɪt ˈtɜr·məˌneɪt ˈtɜr·məˌneɪt
termination, ˌtɝːməˈneɪʃən ˌtɝːməˈneɪʃən
terminator, ˈtɝːməneɪt̬ɚ ˈtɝːməneɪt̬ɚ
terminology, ˌtɝːməˈnɑːlədʒi ˌtɜr·məˈnɑl·ə·dʒi
termite, ˈtɝːmaɪt ˈtɜr·mɑɪt
terms, tɜrmz tɜrmz
tern, tɝːn
terrace, ˈterəs ˈterəs ˈterəs ˈterəs ˈter·əs
terrain, təˈreɪn təˈreɪn
terrestrial, təˈrestriəl təˈrestriəl təˈrestriəl təˈrestriəl təˈres·tri·əl
terrible, ˈterəbəl ˈterəbəl ˈterəbəl ˈter·ə·bəl
terribly, ˈterəbli ˈterəbli ˈter·ə·bli ˈter·ə·bli
terrier, ˈteriɚ ˈter·i·ər
terrific, təˈrɪfɪk təˈrɪfɪk təˈrɪf·ɪk təˈrɪf·ɪk
terrifically, təˈrɪfɪkəli təˈrɪfɪkəli təˈrɪf·ɪ·kli
terrified, ˈterəfaɪd
terrify, ˈterəfaɪ ˈter·əˌfɑɪ
terrifying, ˈterəfaɪɪŋ
territorial," ˌterəˈtɔːriəl ˌter·əˈtɔr·i·əl, -ˈtoʊr-"
territory," ˈterətɔːri ˈterətɔːri ˈterətɔːri ˈterətɔːri ˈter·əˌtɔr·i, -ˌtoʊr·i"
terror, ˈterɚ ˈterɚ ˈterɚ ˈter·ər ˈter·ər
terrorism, ˈterərɪzəm ˈter·əˌrɪz·əm
terrorist, ˈterɚɪst
